Sub-District,Sub-District Latitude,Sub-District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Kampung Bugis,-8.1041505,115.0866458,pelabuhan singaraja,-8.103548481573887,115.08962909466511,Harbor / Marina
Kampung Bugis,-8.1041505,115.0866458,Pasar Anyar Singaraja,-8.107953928646824,115.08904416337612,Flea Market
Kampung Bugis,-8.1041505,115.0866458,Pop! Hotel Hardys Singaraja Bali,-8.10291666192905,115.09053783119396,Hotel Pool
Kampung Bugis,-8.1041505,115.0866458,Pasar Kampung Tinggi,-8.103891495972425,115.0909263642709,Flea Market
Kampung Kajanan,-8.113211,115.0880025,Rumah Cantik Kanaya,-8.11501136124669,115.09073890668512,Cosmetics Shop
Kampung Kajanan,-8.113211,115.0880025,Apple Mart,-8.113064468021784,115.08349331078239,Juice Bar
Kampung Kajanan,-8.113211,115.0880025,Mailaku Roemah Nongkrong,-8.114223562911613,115.08617668179903,Café
Kampung Kajanan,-8.113211,115.0880025,KFC,-8.112753662043307,115.09001132642514,Fast Food Restaurant
Kampung Kajanan,-8.113211,115.0880025,KFC,-8.112786608163837,115.09135723114014,Fried Chicken Joint
Kampung Kajanan,-8.113211,115.0880025,Bakso Shabu Ala Jepang,-8.115324756727619,115.09178348599671,Dim Sum Restaurant
Kampung Kajanan,-8.113211,115.0880025,mcdonald's,-8.114957,115.091583,Fast Food Restaurant
Kampung Kajanan,-8.113211,115.0880025,BARAK Coffee Shop,-8.117098899365846,115.09013414382935,Coffee Shop
Kampung Kajanan,-8.113211,115.0880025,KFC Singaraja,-8.112808065326599,115.09130603293973,Fast Food Restaurant
Kampung Kajanan,-8.113211,115.0880025,Oak Tree Cafe,-8.112785801455844,115.09107693987258,Café
Kampung Kajanan,-8.113211,115.0880025,GOR Buana Patra,-8.115146471595438,115.08857505930636,Basketball Stadium
Kampung Kajanan,-8.113211,115.0880025,Rumah makan GANDI,-8.110237448747704,115.0889539718628,Indonesian Restaurant
Kampung Kajanan,-8.113211,115.0880025,Gedung Kesenian Gde Manik,-8.117142171841495,115.08683799289643,Theater
Kampung Kajanan,-8.113211,115.0880025,Depot Jakarta,-8.115435617383854,115.09182633019748,Chinese Restaurant
Kampung Kajanan,-8.113211,115.0880025,Conato Bakery,-8.111713349914377,115.0856159389264,Bakery
Kampung Kajanan,-8.113211,115.0880025,Bakso Kampus,-8.11513755,115.086422,Food Court
Kampung Kajanan,-8.113211,115.0880025,Bunny Burger,-8.115909306415348,115.08736610412598,Burger Joint
Kampung Kajanan,-8.113211,115.0880025,Apotek K-24,-8.11185633217027,115.08541872424615,Pharmacy
Kampung Kajanan,-8.113211,115.0880025,Wr. Bakso Mas Doel,-8.115723139370482,115.09136298295725,Noodle House
Kendran,-8.1239766,115.0974614,Gedung Sasana Budaya,-8.124656854177596,115.09673505718132,Theater
Kendran,-8.1239766,115.0974614,Indomaret liligundi,-8.1264138577028,115.09747633854344,Food & Drink Shop
Penarukan,-8.0920809,115.1154625,SMA negeri 3 singaraja,-8.092339770557185,115.11648416519165,Arcade
Penarukan,-8.0920809,115.1154625,Fajar Musik,-8.092407986563636,115.115480847822,Music Store
Penarukan,-8.0920809,115.1154625,Maha Surya Motor,-8.092968179467961,115.11755978587935,Hunting Supply
Penarukan,-8.0920809,115.1154625,Nasi Urab Prapatan,-8.094044492053861,115.11661586858561,Food
Penarukan,-8.0920809,115.1154625,Terminal Penarukan,-8.093535304394921,115.11841683723044,Bus Station
Penarukan,-8.0920809,115.1154625,DANUARTHA COMPUTER,-8.092011714192322,115.11884536205353,Convenience Store
Petandakan,-8.1399661,115.1240855,Denyz Theater,-8.137922286987305,115.12126922607422,Theater
Poh Bergong,-8.1269144,115.1431372,"Desa Wisata Jatiluwih,Tabanan,Bali",-8.129128839965432,115.14200222799487,Farm
Poh Bergong,-8.1269144,115.1431372,Warung Siobak Wa Tamien,-8.129543103619401,115.14516380123699,Asian Restaurant
Sari Mekar,-8.2840783,115.1591174,Kebun Raya Eka Karya Bedugul,-8.28121810385819,115.15623450279236,Garden
Sari Mekar,-8.2840783,115.1591174,Warung Rekreasi Bedugul,-8.282249321255417,115.16318163881891,Restaurant
Sari Mekar,-8.2840783,115.1591174,Bedugul Lake View Residence,-8.28197423658683,115.16281823991113,Motel
Sari Mekar,-8.2840783,115.1591174,Pasar Merta Sari Candi Kuning,-8.282941147603902,115.16170792137642,Farmers Market
Sari Mekar,-8.2840783,115.1591174,RM. Taliwang Bersaudara,-8.283694,115.161917,Arcade
Sari Mekar,-8.2840783,115.1591174,Sate Kelinci Bedugul,-8.282847139233835,115.1620597386514,Asian Restaurant
Tukadmungga,-8.1474665,115.0632694,Villa belindo,-8.149425,115.064268,Bed & Breakfast
Bengkel,-8.5860357,115.0904144,Dapur,-8.5865096,115.0910434,Brazilian Restaurant
Bengkel,-8.5860357,115.0904144,Sari dharma,-8.585358102184632,115.09485868118013,Department Store
Bongancina,-8.3556039,114.9316294,"Melia benoa, benoa-nusa dua",-8.353589422222223,114.93031148888889,Hotel
Busungbiu,-8.255363,114.9658343,Bagong Billiard Sport,-8.25492,114.9649,Pool Hall
Busungbiu,-8.255363,114.9658343,Gelora Net,-8.25552,114.96549,Gaming Cafe
Busungbiu,-8.255363,114.9658343,Busung biu Village,-8.257975,114.967027,Electronics Store
Busungbiu,-8.255363,114.9658343,Warung Kiss Kinda,-8.256911213168062,114.96979495529666,Café
Kekeran,-8.2684019,114.9713291,Jaya Negara Resto,-8.264725,114.970627,Restaurant
Kekeran,-8.2684019,114.9713291,riceview point kekeran,-8.268580843254616,114.96724001742872,Intersection
Pelapuan,-8.2667079,114.9910422,Pelapuan Village,-8.267661861366223,114.99124755764451,Plaza
Celukan Bawang,-8.2008586,114.8452961,Dermaga kapal pesiar celukan bawang,-8.1977277821515,114.8422448904488,Harbor / Marina
Musi,-8.1795688,114.7488395,Kenanga Restaurant,-8.181819702573783,114.75031414015993,Asian Restaurant
Musi,-8.1795688,114.7488395,Toko Anugrah 2,-8.176520190428317,114.74891123052392,Convenience Store
Musi,-8.1795688,114.7488395,TB. WK Jaya,-8.176545484583002,114.75152573954676,Outdoor Supply Store
Pejarakan,-8.1432295,114.5867979,Klenting Kuning,-8.143347,114.58799,Diner
Pejarakan,-8.1432295,114.5867979,Maya Cell,-8.142314,114.585745,Mobile Phone Shop
Pemuteran,-8.1448438,114.6514284,La Casa Kita,-8.145162337756695,114.65287445218873,Pizza Place
Pemuteran,-8.1448438,114.6514284,Taman Sari Resort & Spa,-8.142381614028075,114.6538172898972,Resort
Pemuteran,-8.1448438,114.6514284,Pemuteran beach,-8.14301085502936,114.65430672279311,Beach
Pemuteran,-8.1448438,114.6514284,Frangipani Bar & Restaurant,-8.146089752720618,114.65444009184014,Indonesian Restaurant
Pemuteran,-8.1448438,114.6514284,Bali Balance Cafe & Bistro,-8.146039688777497,114.6555670864336,Café
Pemuteran,-8.1448438,114.6514284,Pondok Sari Beach Resort,-8.143397104702773,114.6542943820624,Resort
Pemuteran,-8.1448438,114.6514284,Warung Kadek Merry,-8.143088,114.65096,Indonesian Restaurant
Pemuteran,-8.1448438,114.6514284,Biorock,-8.142775121343389,114.65407477651051,Dive Spot
Pemuteran,-8.1448438,114.6514284,Badini Bar And Restaurant,-8.145761,114.65503833,Bar
Pemuteran,-8.1448438,114.6514284,Reef seen aquatics dive centre,-8.14386353751519,114.65586075915684,Dive Shop
Sumberkima,-8.1431667,114.6006031,Studio 1 Movie Bali International Flight Academy,-8.1434484,114.60388465,Multiplex
Tinga Tinga,-8.200111,114.8350393,Rumah Makan Jakarta,-8.200328317430696,114.83436273480449,Asian Restaurant
Tinga Tinga,-8.200111,114.8350393,Celukan Bawang,-8.199054201197118,114.83607248212418,Harbor / Marina
Tinga Tinga,-8.200111,114.8350393,Lesehan Kenn Ikan Bakar Ayam Betutu,-8.200210905645475,114.83653614097997,Indonesian Restaurant
Bukti,-8.0835402,115.2274128,Villa Sea View,-8.083544655687072,115.22746860980988,Boarding House
Bukti,-8.0835402,115.2274128,Pantai Airsanih,-8.080744290735236,115.22587172397807,Beach
Bukti,-8.0835402,115.2274128,mojito villa,-8.080222,115.225178,Hotel
Depeha,-8.1255953,115.2418576,Gaia Oasis Resort Bali,-8.124819166182181,115.23828293304724,Hotel
Tajun,-8.1412951,115.2483464,Pasar Desa Pekraman Tajun,-8.140277862548828,115.2453384399414,Market
Tamblang,-8.135398,115.226357,Warung Nasi goreng Bu jegeg,-8.1363769,115.2300896,Indonesian Restaurant
Giri Emas,-8.0846116,115.1488544,Air sanih,-8.08023,115.14803,Beach
Jagaraga,-8.1241182,115.1758583,Bendungan Tamblang,-8.126806,115.176384,Reservoir
Jagaraga,-8.1241182,115.1758583,Gorgoeus in me store,-8.126325,115.173839,Clothing Store
Jagaraga,-8.1241182,115.1758583,Gorgeous in me store,-8.1265,115.173679,Clothing Store
Jagaraga,-8.1241182,115.1758583,Dagang Kopi Jegeg,-8.123869849896783,115.17989272551362,Breakfast Spot
Kerobokan,-8.0939004,115.1271344,Pizza Hut Singaraja,-8.09114852776846,115.12364016859307,Café
Lemukih,-8.1910529,115.1875157,Lemukih Waterfall,-8.192056905104245,115.18465187954487,Waterfall
Lemukih,-8.1910529,115.1875157,Mungseng Breeze,-8.191949,115.18437,Restaurant
Lemukih,-8.1910529,115.1875157,Mungseng Breeze,-8.191775,115.184313,Restaurant
Menyali,-8.1467147,115.1820934,Pasar Desa Tamblang,-8.147592,115.182826,Market
Sangsit,-8.1160774,115.1618176,Warung Cak Doel,-8.114608,115.16549,Food Truck
Sinabun,-8.131338,115.1579544,Segara Bambu,-8.128543,115.156352,Asian Restaurant
Gunungsari,-8.3616093,115.1331916,Pura Luhur Jatiluwih,-8.360712753360762,115.13068168764647,Mountain
Joanyar,-8.2006483,114.9535522,My Grape Park,-8.198776797283537,114.95097718248358,Farm
Kalisada,-8.197577,114.8887967,Yehanakan Beach,-8.20047,114.89212,Beach
Rangdu,-8.2129428,114.9389594,Warung Makan Juk Wi,-8.2136465,114.9378837,Indonesian Restaurant
Rangdu,-8.2129428,114.9389594,Rujak Mek Puri,-8.21513,114.9393,Indonesian Restaurant
Rangdu,-8.2129428,114.9389594,Topan Motor,-8.215679,114.940956,Motorcycle Shop
Seririt,-8.193144,114.9342652,Pasar Seririt,-8.193872720027672,114.9337749243844,Flea Market
Seririt,-8.193144,114.9342652,Hotel Singasari Seririt,-8.194871491536238,114.9345338344574,Motel
Seririt,-8.193144,114.9342652,Pasar Seririt,-8.195079021874978,114.93332877813609,Market
Seririt,-8.193144,114.9342652,Hardy's,-8.195171005838455,114.93366525025262,Grocery Store
Sulanyah,-8.1967829,114.9437675,pantai kalianget,-8.19757939970049,114.94018793106079,Beach
Sulanyah,-8.1967829,114.9437675,Water Park Gran Surya,-8.19493,114.947,Recreation Center
Sulanyah,-8.1967829,114.9437675,Siobak Khelok Seririt,-8.192768402506333,114.94188657248026,Asian Restaurant
Pancasari,-8.2507591,115.1524202,Pasar Wisata Desa Pancasari,-8.247642506962219,115.15134331603409,Flea Market
Pancasari,-8.2507591,115.1524202,Pancasari inn,-8.250776,115.15193,Hotel
Pancasari,-8.2507591,115.1524202,Pancasari hotel and restaurant,-8.250953329260842,115.15173583631258,Resort
Pancasari,-8.2507591,115.1524202,Bali Buyan Resort,-8.251945744217778,115.15149843475011,Resort
Pancasari,-8.2507591,115.1524202,wr. Mang Erna,-8.248818622467391,115.15538948204683,Dessert Shop
Pancasari,-8.2507591,115.1524202,Buyan 818,-8.24684,115.151648,Restaurant
Pancasari,-8.2507591,115.1524202,Warung makan babi guling,-8.253070782675623,115.15592797147072,Restaurant
Selat,-8.4356426,115.4754816,Premier futsal,-8.431757,115.47418,Soccer Field
Bondalem,-8.116913,115.3133619,Desa Bondalem,-8.115120092958362,115.31095728410345,Rest Area
Madenan,-8.1485874,115.3070712,Warung Madura,-8.149690999999999,115.305901,Indonesian Restaurant
Pacung,-8.1098925,115.292822,Warung Makan Made's,-8.107304,115.28967,Indonesian Restaurant
Pacung,-8.1098925,115.292822,Baksoo Laros,-8.10608,115.29504,Asian Restaurant
Penuktukan,-8.1418918,115.3858968,Dagang Nasi Mi Dong Sumarti,-8.142273,115.386458,Asian Restaurant
Penuktukan,-8.1418918,115.3858968,Desa Penuktukan,-8.140749457111927,115.38736367223609,Farm
Sambirenteng,-8.1452225,115.3974582,Depot Poleng,-8.144265,115.397749,Balinese Restaurant
Sambirenteng,-8.1452225,115.3974582,Black Pink Market,-8.144407,115.397531,Convenience Store
Dauh Puri,-8.6659464,115.21695525653959,Balinese Therapy Massage,-8.666055695694059,115.21591732882096,Spa
Dauh Puri,-8.6659464,115.21695525653959,D'crepes,-8.66591797611368,115.21588148861582,Dessert Shop
Dauh Puri,-8.6659464,115.21695525653959,Bali Shinju Reflexiology,-8.666052314419806,115.21593892943584,Spa
Dauh Puri,-8.6659464,115.21695525653959,Depot Bakmi Keriting Jakarta,-8.665957335977529,115.21503636701632,Noodle House
Dauh Puri,-8.6659464,115.21695525653959,Pizza Hut,-8.667478022250966,115.2153716604217,Pizza Place
Dauh Puri,-8.6659464,115.21695525653959,Soerabi Bandung,-8.667623777860495,115.21808061142627,Snack Place
Dauh Puri,-8.6659464,115.21695525653959,Celebrity Fitness,-8.669544638737195,115.2152074168888,Gym
Dauh Puri,-8.6659464,115.21695525653959,Titiles,-8.662756121370554,115.21619013272459,Food & Drink Shop
Dauh Puri,-8.6659464,115.21695525653959,Starbucks,-8.669556595640627,115.21523258297489,Coffee Shop
Dauh Puri,-8.6659464,115.21695525653959,Krisna Art Gallery,-8.667863114907206,115.2148464070585,Art Gallery
Dauh Puri,-8.6659464,115.21695525653959,Nasi Jinggo Toko Sembilan,-8.664704109319613,115.21528712552548,Asian Restaurant
Dauh Puri,-8.6659464,115.21695525653959,Tiara Dewata,-8.662436098549533,115.21718311519362,Department Store
Dauh Puri,-8.6659464,115.21695525653959,Puri Jam,-8.668504263235464,115.21547007812896,Accessories Store
Dauh Puri,-8.6659464,115.21695525653959,Dapoer Bunda,-8.66858402298767,115.21472205657561,Café
Dauh Puri,-8.6659464,115.21695525653959,Gramedia,-8.67000743684478,115.21737813949585,Bookstore
Dauh Puri,-8.6659464,115.21695525653959,Wing United,-8.669552403465987,115.2145236916055,Wings Joint
Dauh Puri,-8.6659464,115.21695525653959,Krisna Gallery & Resto,-8.667897982476461,115.21480455166724,Balinese Restaurant
Dauh Puri,-8.6659464,115.21695525653959,Wah Republic,-8.669909,115.21528,Restaurant
Dauh Puri,-8.6659464,115.21695525653959,Level 21,-8.669795312046585,115.21467179059982,Shopping Mall
Dauh Puri,-8.6659464,115.21695525653959,Pertokoan Kartika Udayana,-8.661874484230637,115.21883572637178,Building
Dauh Puri,-8.6659464,115.21695525653959,Moena Fresh,-8.665106022456094,115.2150816944806,Juice Bar
Dauh Puri,-8.6659464,115.21695525653959,Pojok Sudirman,-8.669185728362098,115.21836930337886,Food Court
Dauh Puri,-8.6659464,115.21695525653959,Social,-8.669495,115.214814,Italian Restaurant
Dauh Puri,-8.6659464,115.21695525653959,Inul Vista (Karaoke),-8.66957905481665,115.21466144096185,Music Venue
Dauh Puri,-8.6659464,115.21695525653959,Matahari,-8.66991,115.217305,Department Store
Dauh Puri Kangin,-8.65845775,115.21570834497828,Garuda Indonesia Denpasar,-8.65851662286215,115.2180648770349,Office
Dauh Puri Kangin,-8.65845775,115.21570834497828,"Depot Umum ""Batan Sabo""",-8.658078725000177,115.21467453745083,Chinese Restaurant
Dauh Puri Kangin,-8.65845775,115.21570834497828,Toko oleh-oleh Salak Bali,-8.657463715634275,115.21469292417255,Gift Shop
Dauh Puri Kangin,-8.65845775,115.21570834497828,Patung Catur Muka,-8.65603640550103,115.2169933396424,Monument / Landmark
Dauh Puri Kangin,-8.65845775,115.21570834497828,Kopi Bali Cap Kupu-Kupu Bola Dunia,-8.655491394900405,115.2133935287334,Coffee Shop
Dauh Puri Kangin,-8.65845775,115.21570834497828,Gallery Kohinoor Gold Shop,-8.658592886324335,115.21340852007827,Jewelry Store
Dauh Puri Kangin,-8.65845775,115.21570834497828,Lapangan Puputan Badung I Gusti Ngurah Made Agung,-8.656441815078491,115.21772146224976,Historic Site
Dauh Puri Kangin,-8.65845775,115.21570834497828,Bali Cenik,-8.66164533372836,115.21880402864535,Kids Store
Dauh Puri Kangin,-8.65845775,115.21570834497828,Pasar Badung,-8.655729656989491,115.21229061239103,Flea Market
Dauh Puri Kangin,-8.65845775,115.21570834497828,Museum Bali,-8.657575175230352,115.21848862146366,History Museum
Dauh Puri Kangin,-8.65845775,115.21570834497828,Titiles,-8.662756121370554,115.21619013272459,Food & Drink Shop
Dauh Puri Kangin,-8.65845775,115.21570834497828,Depot Karna Sari,-8.654098341236516,115.216453876901,Indonesian Restaurant
Dauh Puri Kangin,-8.65845775,115.21570834497828,Inna Bali Heritage Hotel,-8.65482217192074,115.21691835330786,Hotel
Dauh Puri Kangin,-8.65845775,115.21570834497828,Tiara Dewata,-8.662436098549533,115.21718311519362,Department Store
Dauh Puri Kangin,-8.65845775,115.21570834497828,toko emas windusara 2,-8.658472151456854,115.21308372838389,Jewelry Store
Dauh Puri Kangin,-8.65845775,115.21570834497828,Warung Rama Siobak Singaraja,-8.661291050978509,115.21880855307053,Indonesian Restaurant
Dauh Puri Kangin,-8.65845775,115.21570834497828,Kober Mie Setan Kaliasem,-8.655080040158825,115.21859619269782,Noodle House
Dauh Puri Kangin,-8.65845775,115.21570834497828,London Beauty Centre,-8.657342093738537,115.21983114532772,Cosmetics Shop
Dauh Puri Kangin,-8.65845775,115.21570834497828,Pusat Buah (Distributor Salak Bali),-8.65656338696148,115.21490151956826,Fruit & Vegetable Store
Dauh Puri Kangin,-8.65845775,115.21570834497828,Kopi Bali Bhineka Djaja,-8.655611045316395,115.21256849267738,Coffee Shop
Dauh Puri Kangin,-8.65845775,115.21570834497828,Apotek Adhi Guna Farma 2,-8.661609815492136,115.21660779934595,Pharmacy
Dauh Puri Kangin,-8.65845775,115.21570834497828,Warung Soto Ketut,-8.661256366401016,115.21825040368321,Soup Place
Dauh Puri Kangin,-8.65845775,115.21570834497828,Circle K,-8.659166256664248,115.21991982572068,Convenience Store
Dauh Puri Kangin,-8.65845775,115.21570834497828,Roti Boy,-8.662542850236319,115.2173269400624,Bakery
Dauh Puri Kangin,-8.65845775,115.21570834497828,KFC,-8.658607981059365,115.21238160797137,Fast Food Restaurant
Dauh Puri Kangin,-8.65845775,115.21570834497828,Surabaya Game Arjuna,-8.654397881053681,115.21516203018184,Video Game Store
Dauh Puri Kangin,-8.65845775,115.21570834497828,Mie ayam gang kelinci,-8.661638,115.21869,Noodle House
Dauh Puri Kauh,-8.6791849,115.2025966,Soto Ayam Surabaya SAS,-8.680241740240975,115.20332424978015,Javanese Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Black Canyon Coffee Amaris Hotel,-8.680786632241656,115.202994519368,Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Amaris Hotel Teuku Umar,-8.680730090436588,115.20295191705573,Hotel
Dauh Puri Kauh,-8.6791849,115.2025966,UFO Electronics,-8.680111207040609,115.20372580240193,Electronics Store
Dauh Puri Kauh,-8.6791849,115.2025966,J.co,-8.678685192644789,115.20503002204195,Dessert Shop
Dauh Puri Kauh,-8.6791849,115.2025966,Holland Bakery,-8.680564471662565,115.20304856484206,Bakery
Dauh Puri Kauh,-8.6791849,115.2025966,Ouval Research Denpasar,-8.681295112403452,115.19959498873605,Clothing Store
Dauh Puri Kauh,-8.6791849,115.2025966,Black Canyon Coffee,-8.680744618709676,115.20302200655026,Asian Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Bali Electronic Center,-8.678228,115.205137,Electronics Store
Dauh Puri Kauh,-8.6791849,115.2025966,Restaurant Sunda Kelapa,-8.679518305832373,115.20453522366336,Indonesian Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Rumahan Bistro & Creative Home Living,-8.680986209251502,115.20218204691517,Bistro
Dauh Puri Kauh,-8.6791849,115.2025966,Nyo Nyo Fresh Milk,-8.680912360365094,115.2017772948202,Snack Place
Dauh Puri Kauh,-8.6791849,115.2025966,Seafood Cak Har,-8.681115365765788,115.20049459486147,Seafood Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Warung Sushi Kawe,-8.6783197666989,115.20686112973276,Chinese Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Jejak Bali Kuliner (JEBAK),-8.680846918960594,115.201888465003,Food Court
Dauh Puri Kauh,-8.6791849,115.2025966,Soes Merdeka,-8.681051063519401,115.20083627983406,Bakery
Dauh Puri Kauh,-8.6791849,115.2025966,Anzuh Hair & Esthetic Salon,-8.68030740548512,115.20327019317241,Salon / Barbershop
Dauh Puri Kauh,-8.6791849,115.2025966,Ayam Bakar Wo Aini,-8.677951671355883,115.20633073446898,Indonesian Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Warung Pink Tempong,-8.67880387829384,115.20482747923235,Indonesian Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Rumah Makan Padang Simpang Ampek,-8.68132050367035,115.20007794317978,Indonesian Restaurant
Dauh Puri Kauh,-8.6791849,115.2025966,Conato Bakery,-8.678974616864663,115.20485981892371,Bakery
Dauh Puri Kauh,-8.6791849,115.2025966,Larissa Aesthetic Center,-8.680501550177855,115.20153906554324,Cosmetics Shop
